ticket_id,subscriber_id,ticket_date,ticket_channel,ticket_category,priority,status,resolution_date,sla_target_hours,assigned_team
TKT_000063,SUB_02554,2025-09-16,App,Plan Change,High,Resolved,2025-09-17,24,Tier 1
TKT_000064,SUB_00090,2025-12-12,App,Network Issue,Low,Resolved,2025-12-13,24,Tier 1
TKT_000065,SUB_04189,2025-10-25,Online Chat,Network Issue,Medium,Resolved,2025-10-25,24,Tier 2
TKT_000066,SUB_04993,2025-11-28,App,Billing Query,Critical,Resolved,2025-11-29,72,Tier 1
TKT_000067,SUB_03584,2025-12-16,Call Center,Technical Support,Medium,Resolved,2025-12-18,72,Tier 2
TKT_000068,SUB_03670,2025-09-17,App,Network Issue,Medium,Escalated,2025-09-19,72,Tier 3
TKT_000069,SUB_02460,2025-11-16,Retail Store,Network Issue,Low,Resolved,2025-11-17,24,Tier 3
TKT_000070,SUB_03418,2025-11-23,Call Center,Technical Support,High,Resolved,2025-11-24,24,Tier 3
TKT_000071,SUB_02720,2025-09-17,Call Center,Network Issue,Medium,In Progress,,72,Tier 3
TKT_000072,SUB_03085,2025-09-27,App,Billing Query,Medium,Escalated,2025-09-29,48,Tier 2
TKT_000073,SUB_04380,2025-10-09,Online Chat,Billing Query,Medium,Resolved,2025-10-11,72,Tier 3
TKT_000074,SUB_04422,2025-09-26,Call Center,Network Issue,Medium,Resolved,2025-09-29,72,Tier 2
TKT_000075,SUB_04306,2025-10-03,Call Center,Network Issue,High,Open,,24,Tier 1
TKT_000076,SUB_00853,2025-11-19,Call Center,Technical Support,High,In Progress,,48,Tier 3
TKT_000077,SUB_00504,2025-11-01,Retail Store,Plan Change,Low,Resolved,2025-11-05,72,Tier 3
TKT_000078,SUB_00526,2025-09-24,Online Chat,Technical Support,Low,Resolved,2025-09-25,24,Tier 3
TKT_000079,SUB_01085,2025-09-22,App,Billing Query,High,In Progress,,48,Tier 1
TKT_000080,SUB_02681,2025-09-21,Call Center,Network Issue,Medium,In Progress,,72,Tier 1
TKT_000081,SUB_04096,2025-11-12,Online Chat,Plan Change,Medium,Open,,48,Tier 1
TKT_000082,SUB_04007,2025-11-21,App,Plan Change,Low,Resolved,2025-11-21,48,Tier 2
TKT_000083,SUB_03620,2025-09-14,Call Center,Billing Query,Low,Resolved,2025-09-14,24,Tier 2
TKT_000084,SUB_00443,2025-12-28,Retail Store,Technical Support,Low,Open,,24,Tier 3
TKT_000085,SUB_03854,2025-11-24,Online Chat,Technical Support,Low,In Progress,,48,Field Ops
TKT_000086,SUB_00819,2025-12-18,Call Center,Network Issue,Medium,Open,,72,Field Ops
TKT_000087,SUB_01161,2025-12-11,App,Network Issue,High,Open,,72,Tier 3
TKT_000088,SUB_00393,2025-09-13,Retail Store,Technical Support,Low,Resolved,2025-09-16,48,Tier 2
TKT_000089,SUB_03961,2025-10-05,App,Billing Query,Medium,Open,,24,Tier 1
TKT_000090,SUB_00871,2025-12-10,Online Chat,Network Issue,Low,Resolved,2025-12-12,72,Field Ops
TKT_000091,SUB_03812,2025-12-12,App,Technical Support,Medium,In Progress,,72,Field Ops
TKT_000092,SUB_04437,2025-11-16,Online Chat,Technical Support,Low,Resolved,2025-11-19,48,Field Ops
TKT_000093,SUB_00392,2025-09-26,Call Center,Billing Query,Medium,Open,,48,Tier 3
TKT_000094,SUB_04312,2025-11-29,Call Center,Plan Change,Medium,Resolved,2025-12-01,48,Tier 2
TKT_000095,SUB_00259,2025-09-14,App,Network Issue,High,Resolved,2025-09-18,48,Field Ops
TKT_000096,SUB_04779,2025-11-23,App,Plan Change,Medium,Open,,24,Tier 2
TKT_000097,SUB_04507,2025-10-20,Call Center,Plan Change,Medium,In Progress,,24,Tier 1
TKT_000098,SUB_00908,2025-11-20,Call Center,Network Issue,Low,In Progress,,48,Tier 3
TKT_000099,SUB_03847,2025-12-20,App,Billing Query,High,In Progress,,72,Tier 2
TKT_000100,SUB_02298,2025-11-29,Call Center,Network Issue,Low,In Progress,,24,Tier 3
TKT_000101,SUB_01849,2025-12-04,Retail Store,Technical Support,Medium,Resolved,2025-12-09,72,Tier 2
TKT_000102,SUB_00471,2025-12-09,App,Technical Support,Low,Resolved,2025-12-09,72,Tier 2
TKT_000103,SUB_04218,2025-12-31,Call Center,Billing Query,Low,Resolved,2026-01-01,24,Tier 3
TKT_000104,SUB_02817,2025-11-08,Online Chat,Complaint,High,Resolved,2025-11-11,72,Tier 1
TKT_000105,SUB_04856,2025-12-30,Call Center,Plan Change,Low,Resolved,2025-12-31,24,Tier 3
TKT_000106,SUB_03233,2025-09-23,Call Center,Technical Support,Low,Escalated,2025-09-26,48,Tier 3
TKT_000107,SUB_02072,2025-10-10,App,Billing Query,Low,Escalated,2025-10-11,24,Field Ops
TKT_000108,SUB_01999,2025-09-15,App,Plan Change,Low,Resolved,2025-09-16,48,Tier 2
TKT_000109,SUB_00887,2025-11-20,Call Center,Network Issue,Low,Resolved,2025-11-24,72,Tier 1
TKT_000110,SUB_03735,2025-12-25,App,Technical Support,High,Resolved,2025-12-26,72,Field Ops
TKT_000111,SUB_02118,2025-12-05,Online Chat,Plan Change,Low,In Progress,,72,Tier 3
TKT_000112,SUB_01329,2025-12-08,Call Center,Billing Query,Low,Resolved,2025-12-08,24,Tier 3
TKT_000113,SUB_04403,2025-11-27,Call Center,Network Issue,High,Open,,72,Tier 3
TKT_000114,SUB_02268,2025-10-29,Call Center,Network Issue,Medium,Resolved,2025-10-30,48,Tier 2
TKT_000115,SUB_03675,2025-12-18,Call Center,Billing Query,Low,Resolved,2025-12-19,24,Tier 2
TKT_000116,SUB_00793,2025-09-10,App,Network Issue,Critical,In Progress,,48,Tier 2
TKT_000117,SUB_02028,2025-11-11,App,Network Issue,High,Resolved,2025-11-11,48,Tier 2
TKT_000118,SUB_00590,2025-11-18,App,Billing Query,Medium,Resolved,2025-11-21,48,Tier 1
TKT_000119,SUB_00413,2025-09-07,Retail Store,Technical Support,Low,Escalated,2025-09-08,24,Field Ops
TKT_000120,SUB_00589,2026-01-03,Retail Store,Billing Query,High,Resolved,2026-01-06,48,Tier 2
TKT_000121,SUB_00256,2025-12-08,App,Billing Query,Medium,In Progress,,48,Tier 3
TKT_000122,SUB_00535,2025-12-04,App,Network Issue,Medium,In Progress,,72,Tier 1
TKT_000123,SUB_02728,2025-12-01,App,Billing Query,Low,Escalated,2025-12-04,48,Tier 2
TKT_000124,SUB_03813,2025-12-31,Retail Store,Billing Query,Low,Resolved,2025-12-31,48,Tier 2
TKT_000125,SUB_00851,2025-11-29,Call Center,Network Issue,Low,Resolved,2025-11-29,72,Field Ops
TKT_000126,SUB_01132,2025-09-07,App,Billing Query,Medium,Escalated,2025-09-07,48,Tier 2
TKT_000127,SUB_03396,2025-10-28,Call Center,Technical Support,Medium,In Progress,,72,Tier 3
TKT_000128,SUB_00700,2025-12-02,Online Chat,Plan Change,Medium,Resolved,2025-12-04,48,Tier 2
TKT_000129,SUB_03536,2025-09-19,Call Center,Network Issue,Low,Resolved,2025-09-23,72,Tier 2
TKT_000130,SUB_01807,2025-10-09,Call Center,Technical Support,Medium,Resolved,2025-10-10,24,Tier 3
TKT_000131,SUB_03052,2025-10-06,Call Center,Complaint,Low,Resolved,2025-10-06,72,Field Ops
TKT_000132,SUB_03466,2025-09-17,Call Center,Plan Change,Low,Resolved,2025-09-22,72,Tier 3
TKT_000133,SUB_04231,2025-12-25,Call Center,Network Issue,Low,Resolved,2025-12-30,72,Field Ops
TKT_000134,SUB_04228,2025-10-29,Call Center,Billing Query,Medium,In Progress,,24,Tier 1
TKT_000135,SUB_01453,2025-12-02,Online Chat,Plan Change,Low,Resolved,2025-12-03,24,Tier 1
TKT_000136,SUB_01054,2025-12-31,App,Complaint,High,In Progress,,24,Field Ops
TKT_000137,SUB_02553,2025-12-20,Call Center,Network Issue,Low,Resolved,2025-12-21,24,Field Ops
TKT_000138,SUB_00902,2025-09-23,Call Center,Complaint,Medium,Resolved,2025-09-23,24,Tier 1
TKT_000139,SUB_00890,2025-10-18,Retail Store,Complaint,Low,In Progress,,24,Tier 2
TKT_000140,SUB_01332,2025-12-11,App,Complaint,Medium,In Progress,,48,Tier 1
TKT_000141,SUB_00164,2025-09-30,App,Network Issue,Medium,Resolved,2025-10-05,72,Tier 1
TKT_000142,SUB_01968,2025-10-29,App,Plan Change,Low,Resolved,2025-11-02,72,Tier 3
TKT_000143,SUB_04862,2025-09-09,Call Center,Plan Change,High,Resolved,2025-09-10,24,Tier 1
TKT_000144,SUB_03590,2026-01-03,Call Center,Network Issue,Low,In Progress,,24,Tier 1
TKT_000145,SUB_03593,2025-10-06,Call Center,Technical Support,High,Resolved,2025-10-07,24,Field Ops
TKT_000146,SUB_04809,2025-12-03,App,Complaint,Low,Resolved,2025-12-04,24,Field Ops
TKT_000147,SUB_01913,2025-12-25,App,Technical Support,Medium,In Progress,,72,Tier 3
TKT_000148,SUB_03613,2025-09-11,Call Center,Technical Support,Low,In Progress,,24,Tier 3
TKT_000149,SUB_04450,2025-11-21,Call Center,Technical Support,Medium,Resolved,2025-11-21,72,Tier 3
TKT_000150,SUB_01774,2025-11-17,Retail Store,Network Issue,High,Resolved,2025-11-18,24,Field Ops
TKT_000151,SUB_02772,2025-11-08,App,Technical Support,Medium,In Progress,,48,Tier 2
TKT_000152,SUB_04474,2025-09-10,App,Billing Query,Low,Resolved,2025-09-11,48,Tier 3
TKT_000153,SUB_02582,2025-10-24,Call Center,Technical Support,Low,Resolved,2025-10-27,72,Field Ops
TKT_000154,SUB_03716,2025-12-25,App,Technical Support,Low,Resolved,2025-12-28,48,Tier 3
TKT_000155,SUB_00820,2025-11-26,Call Center,Billing Query,Medium,Open,,48,Tier 1
TKT_000156,SUB_01905,2026-01-03,App,Technical Support,Low,In Progress,,24,Tier 1
TKT_000157,SUB_02241,2025-10-06,App,Billing Query,Medium,Resolved,2025-10-07,48,Tier 1
TKT_000158,SUB_00930,2025-10-06,Call Center,Technical Support,Critical,Open,,48,Tier 1
TKT_000159,SUB_03412,2025-10-13,Online Chat,Network Issue,High,Resolved,2025-10-13,24,Field Ops
TKT_000160,SUB_01600,2025-12-30,App,Network Issue,Low,Resolved,2025-12-31,24,Tier 2
TKT_000161,SUB_02814,2025-10-25,Online Chat,Technical Support,Low,Resolved,2025-10-27,48,Field Ops
TKT_000162,SUB_01347,2025-12-23,Call Center,Billing Query,Medium,In Progress,,72,Tier 1
TKT_000163,SUB_01413,2026-01-04,Retail Store,Complaint,Low,In Progress,,24,Field Ops
TKT_000164,SUB_03020,2025-12-02,Call Center,Network Issue,Critical,Resolved,2025-12-04,48,Tier 3
TKT_000165,SUB_01947,2025-09-12,Retail Store,Technical Support,Medium,Resolved,2025-09-13,24,Tier 1
TKT_000166,SUB_00998,2025-09-24,Call Center,Billing Query,Medium,Resolved,2025-09-25,24,Tier 3
TKT_000167,SUB_00156,2025-09-13,Online Chat,Complaint,High,Resolved,2025-09-14,24,Tier 3
TKT_000168,SUB_02308,2025-11-25,Online Chat,Network Issue,Low,Resolved,2025-11-25,72,Tier 1
TKT_000169,SUB_03275,2025-10-21,Online Chat,Network Issue,Medium,Resolved,2025-10-21,24,Tier 3
TKT_000170,SUB_04724,2025-12-16,App,Billing Query,Medium,Resolved,2025-12-16,48,Tier 1
TKT_000171,SUB_00844,2025-10-14,App,Billing Query,Low,In Progress,,24,Tier 2
TKT_000172,SUB_01206,2025-09-26,Retail Store,Complaint,Low,Resolved,2025-09-27,24,Tier 1
TKT_000173,SUB_04320,2025-12-02,Call Center,Plan Change,High,Resolved,2025-12-03,72,Tier 1
TKT_000174,SUB_04693,2025-11-29,Call Center,Billing Query,Low,Resolved,2025-12-01,48,Tier 2
TKT_000175,SUB_01985,2025-10-06,App,Network Issue,Low,In Progress,,24,Tier 3
TKT_000176,SUB_02862,2025-09-16,App,Technical Support,Low,Open,,72,Field Ops
TKT_000177,SUB_00492,2025-10-01,Online Chat,Plan Change,Low,Escalated,2025-10-01,24,Field Ops
TKT_000178,SUB_02236,2025-11-01,App,Network Issue,High,Resolved,2025-11-01,24,Tier 3
TKT_000179,SUB_03030,2025-12-11,Call Center,Plan Change,High,Resolved,2025-12-13,48,Tier 1
TKT_000180,SUB_00697,2025-12-16,App,Plan Change,Medium,Resolved,2025-12-17,24,Tier 3
TKT_000181,SUB_01807,2025-11-06,Call Center,Billing Query,Critical,Resolved,2025-11-07,24,Field Ops
TKT_000182,SUB_01913,2025-12-14,App,Technical Support,Medium,Open,,48,Tier 2
TKT_000183,SUB_02443,2025-11-15,App,Network Issue,Medium,Resolved,2025-11-16,72,Tier 2
TKT_000184,SUB_01629,2025-11-25,Call Center,Billing Query,Low,Resolved,2025-11-26,24,Tier 2
TKT_000185,SUB_03581,2025-09-27,Call Center,Network Issue,Low,Resolved,2025-10-01,72,Tier 1
TKT_000186,SUB_00465,2025-10-23,App,Network Issue,Low,Escalated,2025-10-23,24,Tier 2
TKT_000187,SUB_02645,2025-12-13,Call Center,Billing Query,Medium,Resolved,2025-12-15,24,Tier 3
TKT_000188,SUB_04081,2025-09-12,App,Billing Query,Low,Open,,72,Tier 2
TKT_000189,SUB_04115,2025-09-24,Call Center,Billing Query,Critical,Resolved,2025-09-24,72,Tier 3
TKT_000190,SUB_04596,2025-12-02,App,Network Issue,High,Resolved,2025-12-02,48,Tier 3
TKT_000191,SUB_02784,2025-12-24,Call Center,Plan Change,Low,In Progress,,72,Field Ops
TKT_000192,SUB_01192,2025-09-08,Online Chat,Network Issue,Low,Resolved,2025-09-11,48,Tier 1
TKT_000193,SUB_04660,2025-12-12,Online Chat,Network Issue,Medium,In Progress,,72,Tier 1
TKT_000194,SUB_01915,2025-12-30,App,Network Issue,Medium,Resolved,2026-01-02,48,Field Ops
TKT_000195,SUB_04646,2025-10-11,Call Center,Network Issue,Low,Resolved,2025-10-13,48,Tier 1
TKT_000196,SUB_03874,2025-09-21,App,Technical Support,Low,In Progress,,24,Tier 2
TKT_000197,SUB_00923,2025-11-19,Call Center,Technical Support,Medium,Resolved,2025-11-23,72,Tier 2
TKT_000198,SUB_02223,2025-12-18,Call Center,Billing Query,High,Resolved,2025-12-19,24,Field Ops
TKT_000199,SUB_00652,2025-12-05,Call Center,Network Issue,Low,Resolved,2025-12-08,72,Tier 3
TKT_000200,SUB_04669,2025-12-16,Online Chat,Billing Query,High,Resolved,2025-12-18,72,Tier 1
TKT_000201,SUB_02218,2025-12-30,Call Center,Billing Query,Medium,Resolved,2025-12-30,48,Field Ops
TKT_000202,SUB_02977,2025-10-21,App,Network Issue,Medium,Open,,24,Tier 2
TKT_000203,SUB_02596,2025-09-21,App,Network Issue,High,In Progress,,48,Tier 1
TKT_000204,SUB_04390,2025-10-23,Call Center,Plan Change,Low,In Progress,,48,Tier 1
TKT_000205,SUB_03941,2025-09-30,App,Network Issue,Low,Resolved,2025-10-01,24,Tier 1
TKT_000206,SUB_01024,2025-09-17,Online Chat,Network Issue,Medium,Resolved,2025-09-18,24,Tier 3
TKT_000207,SUB_01167,2025-11-26,Call Center,Billing Query,Medium,In Progress,,24,Field Ops
TKT_000208,SUB_01358,2025-10-30,App,Network Issue,Medium,Resolved,2025-10-30,24,Tier 2
TKT_000209,SUB_02564,2025-12-18,App,Complaint,Low,In Progress,,72,Tier 1
TKT_000210,SUB_03409,2025-12-29,App,Network Issue,Medium,Resolved,2025-12-30,24,Tier 2
TKT_000211,SUB_00456,2025-12-07,App,Network Issue,High,Resolved,2025-12-08,48,Tier 3
TKT_000212,SUB_02584,2025-12-09,Call Center,Network Issue,Medium,Open,,72,Tier 2
TKT_000213,SUB_00285,2025-10-22,Online Chat,Network Issue,High,Resolved,2025-10-22,72,Tier 1
TKT_000214,SUB_01983,2025-12-01,Call Center,Network Issue,Medium,Resolved,2025-12-02,72,Tier 2
TKT_000215,SUB_03115,2025-11-30,Online Chat,Plan Change,Medium,Resolved,2025-12-03,48,Tier 3
TKT_000216,SUB_02093,2025-10-10,Call Center,Network Issue,Low,Resolved,2025-10-13,72,Tier 3
TKT_000217,SUB_00272,2025-09-28,Online Chat,Technical Support,Medium,Resolved,2025-09-29,48,Tier 2
TKT_000218,SUB_03903,2025-12-06,Online Chat,Technical Support,Medium,Open,,48,Tier 2
TKT_000219,SUB_04741,2025-11-01,Retail Store,Network Issue,Medium,Resolved,2025-11-03,48,Tier 2
TKT_000220,SUB_03696,2025-09-07,Retail Store,Network Issue,Medium,Resolved,2025-09-09,48,Tier 3
TKT_000221,SUB_00731,2025-10-16,Call Center,Technical Support,Medium,Resolved,2025-10-16,24,Tier 1
TKT_000222,SUB_03012,2025-12-28,App,Network Issue,Low,Open,,72,Tier 3
TKT_000223,SUB_00224,2025-12-03,Call Center,Network Issue,Medium,In Progress,,48,Tier 3
TKT_000224,SUB_04407,2025-11-18,App,Network Issue,High,Resolved,2025-11-18,48,Tier 1
TKT_000225,SUB_03050,2025-09-28,Call Center,Billing Query,Low,Resolved,2025-10-02,72,Tier 3
TKT_000226,SUB_00114,2025-11-09,Online Chat,Complaint,Low,Resolved,2025-11-10,72,Tier 3
TKT_000227,SUB_00430,2025-10-20,Online Chat,Plan Change,Low,Resolved,2025-10-21,48,Tier 1
TKT_000228,SUB_02894,2025-11-13,App,Billing Query,High,Resolved,2025-11-14,72,Tier 2
TKT_000229,SUB_01089,2025-10-25,App,Complaint,High,Resolved,2025-10-28,48,Tier 3
TKT_000230,SUB_01180,2025-10-08,Call Center,Network Issue,Medium,Open,,24,Tier 3
TKT_000231,SUB_04466,2025-10-18,Call Center,Technical Support,High,In Progress,,48,Field Ops
TKT_000232,SUB_03228,2025-10-23,Call Center,Plan Change,Critical,In Progress,,48,Tier 3
TKT_000233,SUB_04315,2026-01-03,Call Center,Network Issue,Low,Resolved,2026-01-05,48,Field Ops
TKT_000234,SUB_04658,2025-12-31,Retail Store,Technical Support,Low,Resolved,2026-01-02,72,Tier 2
TKT_000235,SUB_01316,2025-12-09,Call Center,Plan Change,High,Escalated,2025-12-10,72,Field Ops
TKT_000236,SUB_02326,2025-11-12,App,Complaint,Low,Resolved,2025-11-12,24,Tier 1
TKT_000237,SUB_02606,2025-09-10,App,Technical Support,Low,Resolved,2025-09-11,24,Tier 1
TKT_000238,SUB_00104,2025-10-13,Call Center,Billing Query,Low,Resolved,2025-10-13,48,Tier 1
TKT_000239,SUB_01926,2025-12-31,App,Network Issue,Medium,Resolved,2026-01-01,48,Field Ops
TKT_000240,SUB_02108,2025-11-21,Retail Store,Network Issue,Low,In Progress,,72,Tier 3
TKT_000241,SUB_02217,2025-11-02,App,Network Issue,Low,Resolved,2025-11-04,72,Tier 1
TKT_000242,SUB_04159,2025-09-17,App,Billing Query,High,In Progress,,72,Tier 1
TKT_000243,SUB_03985,2025-11-21,App,Billing Query,Low,Resolved,2025-11-25,72,Tier 2
TKT_000244,SUB_03082,2025-12-24,Call Center,Plan Change,Low,Escalated,2025-12-27,48,Tier 3
TKT_000245,SUB_01258,2026-01-03,Online Chat,Network Issue,Medium,Resolved,2026-01-04,72,Tier 3
TKT_000246,SUB_02523,2025-10-21,Call Center,Network Issue,Low,In Progress,,72,Tier 1
TKT_000247,SUB_01701,2025-12-25,Call Center,Technical Support,Low,Resolved,2025-12-25,48,Tier 2
TKT_000248,SUB_02525,2025-10-02,App,Complaint,Low,Resolved,2025-10-02,24,Tier 1
TKT_000249,SUB_03944,2025-09-09,App,Network Issue,Low,Open,,24,Tier 1
TKT_000250,SUB_00377,2025-12-30,Call Center,Network Issue,Medium,Resolved,2026-01-02,72,Field Ops
TKT_000251,SUB_04269,2025-09-29,Call Center,Billing Query,Critical,In Progress,,72,Field Ops
TKT_000252,SUB_02251,2025-12-24,App,Billing Query,Medium,Open,,72,Tier 2
TKT_000253,SUB_02007,2025-12-29,Online Chat,Plan Change,Medium,In Progress,,72,Tier 3
TKT_000254,SUB_03490,2025-11-21,Online Chat,Billing Query,Low,Resolved,2025-11-21,24,Tier 3
TKT_000255,SUB_02437,2025-09-13,Call Center,Network Issue,Medium,Resolved,2025-09-13,24,Field Ops
TKT_000256,SUB_04074,2025-12-14,Retail Store,Network Issue,High,In Progress,,24,Field Ops
TKT_000257,SUB_03705,2025-11-24,App,Network Issue,Medium,Open,,48,Field Ops
TKT_000258,SUB_00828,2025-12-27,Call Center,Network Issue,Low,Resolved,2025-12-29,72,Field Ops
TKT_000259,SUB_01804,2025-10-07,Online Chat,Network Issue,High,Resolved,2025-10-07,48,Field Ops
TKT_000260,SUB_01528,2025-09-23,Call Center,Network Issue,Low,Resolved,2025-09-24,24,Field Ops
TKT_000261,SUB_02375,2025-12-01,Call Center,Plan Change,Low,Resolved,2025-12-02,24,Tier 2
TKT_000262,SUB_02086,2025-12-18,App,Plan Change,Low,Open,,72,Tier 2
TKT_000263,SUB_04651,2025-12-19,App,Network Issue,Medium,In Progress,,72,Tier 1
TKT_000264,SUB_00233,2025-10-07,Call Center,Technical Support,Medium,Resolved,2025-10-08,72,Field Ops
TKT_000265,SUB_04599,2025-11-08,Online Chat,Network Issue,Low,Resolved,2025-11-08,24,Field Ops
