usage_id,subscriber_id,usage_date,data_usage_gb,voice_minutes,sms_count,roaming_charges,addon_charges
USG_000167,SUB_00008,2025-12-22,4.93,152,183,103.96,0.0
USG_000168,SUB_04129,2025-09-08,2.41,198,169,0.0,0.0
USG_000169,SUB_04362,2025-12-12,2.56,22,42,0.0,0.0
USG_000170,SUB_03983,2025-09-18,12.26,286,35,0.0,5.86
USG_000171,SUB_03454,2025-10-05,6.55,99,245,0.0,0.0
USG_000172,SUB_01547,2025-11-27,5.8,137,154,0.0,0.0
USG_000173,SUB_01739,2025-10-18,5.12,123,72,34.82,0.0
USG_000174,SUB_00049,2025-12-14,6.79,368,169,0.0,39.83
USG_000175,SUB_01039,2025-10-18,4.8,144,299,76.83,0.0
USG_000176,SUB_03659,2025-09-08,2.57,231,31,0.0,0.0
USG_000177,SUB_02139,2025-11-30,6.3,92,113,64.43,0.0
USG_000178,SUB_01344,2025-11-13,3.81,10,71,0.0,0.0
USG_000179,SUB_00880,2025-11-02,1.8,487,80,0.0,0.0
USG_000180,SUB_00262,2025-10-15,1.56,474,90,71.84,0.0
USG_000181,SUB_01698,2025-12-31,3.24,243,2,0.0,81.94
USG_000182,SUB_00324,2025-10-04,2.28,80,256,0.0,0.0
USG_000183,SUB_03459,2025-09-07,1.17,54,295,0.0,0.0
USG_000184,SUB_03607,2025-11-25,1.73,43,31,0.0,0.0
USG_000185,SUB_01771,2025-12-06,5.31,50,192,0.0,0.0
USG_000186,SUB_03634,2025-12-07,6.79,252,32,0.0,0.0
USG_000187,SUB_02980,2025-09-07,9.4,318,73,0.0,0.0
USG_000188,SUB_03328,2025-12-09,7.63,380,119,0.0,0.0
USG_000189,SUB_04525,2025-11-05,15.28,38,145,0.0,0.0
USG_000190,SUB_02778,2025-12-23,10.55,483,180,0.0,0.0
USG_000191,SUB_01005,2026-01-02,1.57,255,219,142.3,0.0
USG_000192,SUB_03331,2025-09-29,8.33,388,214,0.0,0.0
USG_000193,SUB_01540,2025-11-16,2.61,208,37,0.0,0.0
USG_000194,SUB_01499,2025-09-23,1.53,200,244,0.0,0.0
USG_000195,SUB_04255,2025-09-10,1.83,323,218,0.0,0.0
USG_000196,SUB_01454,2025-10-02,5.98,182,299,0.0,37.86
USG_000197,SUB_02744,2025-11-28,4.62,466,254,0.0,0.0
USG_000198,SUB_01464,2025-11-23,4.07,465,125,0.0,0.0
USG_000199,SUB_01427,2025-12-27,1.4,106,73,0.0,0.0
USG_000200,SUB_04864,2025-12-24,2.93,64,245,0.0,0.0
USG_000201,SUB_02480,2025-09-20,4.36,410,254,0.0,0.0
USG_000202,SUB_03295,2025-12-30,1.94,21,48,0.0,0.0
USG_000203,SUB_00300,2025-12-20,3.53,358,219,0.0,0.0
USG_000204,SUB_04289,2025-12-26,7.51,454,188,0.0,0.0
USG_000205,SUB_01764,2025-10-12,3.05,492,127,0.0,0.0
USG_000206,SUB_03779,2025-10-17,11.73,240,210,0.0,0.0
USG_000207,SUB_02831,2025-11-21,3.97,416,295,0.0,0.0
USG_000208,SUB_01150,2025-09-09,2.21,161,2,115.72,41.88
USG_000209,SUB_03700,2025-11-14,1.01,443,215,0.0,0.0
USG_000210,SUB_04017,2025-12-07,4.36,118,163,0.0,0.0
USG_000211,SUB_02078,2025-10-09,6.34,70,37,0.0,0.0
USG_000212,SUB_04208,2025-12-27,8.3,2,95,0.0,0.0
USG_000213,SUB_04775,2025-11-05,7.25,478,3,0.0,0.0
USG_000214,SUB_04767,2025-12-08,8.58,70,191,0.0,0.0
USG_000215,SUB_00505,2025-11-04,5.34,149,231,0.0,0.0
USG_000216,SUB_01388,2025-12-15,2.37,374,79,0.0,69.87
USG_000217,SUB_02592,2025-10-17,4.18,227,6,0.0,0.0
USG_000218,SUB_02118,2025-12-01,2.82,70,77,0.0,4.9
USG_000219,SUB_02819,2025-11-10,30.54,445,278,0.0,21.25
USG_000220,SUB_04347,2025-12-02,4.99,404,260,0.0,54.03
USG_000221,SUB_03902,2025-11-09,10.47,357,105,0.0,64.01
USG_000222,SUB_02434,2025-11-23,16.29,12,287,183.45,0.0
USG_000223,SUB_00505,2025-09-21,8.08,318,189,0.0,0.0
USG_000224,SUB_02075,2025-10-24,2.0,200,56,0.0,0.0
USG_000225,SUB_00584,2025-11-15,8.69,268,260,0.0,0.0
USG_000226,SUB_00350,2025-10-13,3.13,144,31,0.0,0.0
USG_000227,SUB_03904,2025-10-26,10.16,351,109,38.19,0.0
USG_000228,SUB_00993,2025-10-12,4.6,158,234,0.0,0.0
USG_000229,SUB_01907,2025-09-12,5.33,472,206,0.0,0.0
USG_000230,SUB_02717,2025-11-03,4.09,46,19,0.0,0.0
USG_000231,SUB_00990,2025-10-28,14.2,286,104,0.0,0.0
USG_000232,SUB_00904,2025-09-20,0.35,217,264,22.56,0.0
USG_000233,SUB_04539,2025-12-21,10.08,296,266,0.0,0.0
USG_000234,SUB_03978,2025-09-15,4.33,164,14,0.0,20.74
USG_000235,SUB_01836,2025-10-09,2.92,301,178,0.0,0.0
USG_000236,SUB_01442,2025-11-15,3.38,122,126,0.0,0.0
USG_000237,SUB_04930,2025-09-27,2.75,337,72,0.0,70.04
USG_000238,SUB_03235,2025-11-17,4.83,217,219,0.0,0.0
USG_000239,SUB_02008,2025-09-07,30.93,3,77,0.0,0.0
USG_000240,SUB_01515,2025-12-31,7.72,386,196,0.0,0.0
USG_000241,SUB_02144,2025-10-09,2.24,415,31,0.0,0.0
USG_000242,SUB_03579,2025-10-15,3.17,284,85,158.67,0.0
USG_000243,SUB_01111,2025-09-22,12.71,71,163,0.0,0.0
USG_000244,SUB_04883,2026-01-02,5.17,464,42,0.0,0.0
USG_000245,SUB_01366,2025-12-07,7.93,151,148,0.0,96.43
USG_000246,SUB_03369,2025-12-10,18.91,354,228,18.79,0.0
USG_000247,SUB_04110,2026-01-04,1.3,323,243,0.0,0.0
USG_000248,SUB_04182,2025-10-21,8.37,233,208,0.0,0.0
USG_000249,SUB_03645,2025-11-13,8.2,398,136,0.0,0.0
USG_000250,SUB_03536,2025-09-26,3.16,345,194,0.0,0.0
USG_000251,SUB_04429,2025-11-25,1.17,65,45,0.0,0.0
USG_000252,SUB_02349,2025-11-25,7.51,185,145,0.0,0.0
USG_000253,SUB_00488,2025-12-13,1.58,327,300,0.0,32.88
USG_000254,SUB_00929,2025-09-12,11.79,15,258,0.0,0.0
USG_000255,SUB_02016,2025-12-01,2.42,172,233,183.7,0.0
USG_000256,SUB_03076,2025-10-13,4.65,183,251,120.02,0.0
USG_000257,SUB_03879,2025-11-06,7.61,196,124,142.18,98.5
USG_000258,SUB_03738,2025-12-25,0.77,415,79,0.0,0.0
USG_000259,SUB_04789,2025-12-04,1.05,216,186,0.0,0.0
USG_000260,SUB_02993,2025-10-27,4.82,455,85,99.61,0.0
USG_000261,SUB_00026,2025-09-12,17.68,376,72,0.0,0.0
USG_000262,SUB_00484,2025-09-18,1.55,404,8,0.0,0.0
USG_000263,SUB_03264,2025-10-12,2.81,449,58,0.0,0.0
USG_000264,SUB_00557,2025-12-28,9.25,120,163,169.0,38.14
USG_000265,SUB_01940,2025-12-19,5.11,227,266,0.0,0.0
USG_000266,SUB_02987,2025-12-25,1.27,485,118,0.0,6.45
USG_000267,SUB_01734,2025-11-25,8.7,117,25,141.26,0.0
USG_000268,SUB_04010,2025-10-31,3.28,329,12,0.0,0.0
USG_000269,SUB_01354,2025-09-24,6.82,34,178,173.04,0.0
USG_000270,SUB_04429,2025-12-30,6.45,234,1,182.27,0.0
USG_000271,SUB_00856,2025-09-11,6.1,103,229,0.0,0.0
USG_000272,SUB_01345,2025-09-19,6.65,216,119,0.0,0.0
USG_000273,SUB_03437,2025-11-28,3.48,245,50,0.0,0.0
USG_000274,SUB_01206,2025-11-30,5.6,110,209,86.49,0.0
USG_000275,SUB_03452,2025-09-10,0.87,450,82,0.0,0.0
USG_000276,SUB_01528,2025-09-30,3.74,263,263,0.0,0.0
USG_000277,SUB_01885,2025-11-03,5.56,202,166,0.0,0.0
USG_000278,SUB_00008,2025-11-05,2.25,413,162,0.0,0.0
USG_000279,SUB_03125,2025-10-20,6.19,77,222,0.0,0.0
USG_000280,SUB_04804,2025-10-25,2.41,96,285,0.0,0.0
USG_000281,SUB_00244,2025-10-17,1.78,456,198,0.0,0.0
USG_000282,SUB_01821,2025-11-19,50.82,180,202,0.0,0.0
USG_000283,SUB_04250,2025-09-17,16.19,157,269,0.0,0.0
USG_000284,SUB_03486,2025-12-15,2.47,360,92,0.0,0.0
USG_000285,SUB_04752,2025-10-21,7.28,396,72,0.0,0.0
USG_000286,SUB_00980,2025-12-09,9.82,6,32,0.0,0.0
USG_000287,SUB_00353,2025-11-09,2.18,496,11,0.0,0.0
USG_000288,SUB_03332,2025-09-26,10.11,107,60,0.0,0.0
USG_000289,SUB_01623,2025-12-29,4.47,481,69,157.1,65.12
USG_000290,SUB_04075,2025-09-24,0.83,231,186,0.0,73.48
USG_000291,SUB_02782,2025-09-10,6.7,452,47,152.53,0.0
USG_000292,SUB_03546,2025-12-31,2.54,253,130,0.0,0.0
USG_000293,SUB_04769,2025-12-16,1.45,129,190,0.0,0.0
USG_000294,SUB_00642,2025-10-12,3.37,281,274,0.0,0.0
USG_000295,SUB_04975,2025-10-02,26.86,259,101,0.0,0.0
USG_000296,SUB_02207,2025-11-30,11.39,280,219,0.0,83.21
USG_000297,SUB_02081,2025-11-01,4.63,15,235,0.0,0.0
USG_000298,SUB_00045,2026-01-03,4.61,124,81,0.0,0.0
USG_000299,SUB_02106,2025-11-30,8.2,124,220,138.1,3.17
USG_000300,SUB_00235,2025-12-13,6.98,409,30,0.0,0.0
USG_000301,SUB_01687,2025-11-14,2.48,375,4,0.0,0.0
USG_000302,SUB_01659,2026-01-02,4.23,378,250,168.91,0.0
USG_000303,SUB_02590,2025-11-27,8.21,321,2,0.0,6.34
USG_000304,SUB_01328,2025-10-19,5.08,181,19,0.0,0.0
USG_000305,SUB_00049,2025-10-15,1.67,159,107,0.0,13.93
USG_000306,SUB_04474,2025-11-22,1.61,344,119,150.12,0.0
USG_000307,SUB_03191,2025-10-01,2.58,14,140,33.37,0.0
USG_000308,SUB_04444,2025-12-20,2.18,430,194,161.22,0.0
USG_000309,SUB_00498,2025-11-13,3.52,98,283,0.0,0.0
USG_000310,SUB_02822,2025-10-20,10.41,387,220,159.64,0.0
USG_000311,SUB_00787,2025-11-20,2.99,244,155,0.0,0.0
USG_000312,SUB_02122,2025-12-04,4.2,391,213,0.0,0.0
USG_000313,SUB_01036,2025-10-30,4.13,128,197,0.0,0.0
USG_000314,SUB_00841,2025-12-01,2.78,493,216,0.0,0.0
USG_000315,SUB_01610,2025-12-13,1.87,88,217,0.0,0.0
USG_000316,SUB_01134,2025-11-11,3.86,318,30,0.0,0.0
USG_000317,SUB_04149,2025-10-07,18.97,486,37,0.0,0.0
USG_000318,SUB_00577,2025-10-16,2.05,369,276,0.0,0.0
USG_000319,SUB_04028,2025-11-02,0.67,485,88,43.06,0.0
USG_000320,SUB_00378,2025-10-16,4.57,46,149,0.0,0.0
USG_000321,SUB_03567,2025-11-23,9.24,187,23,28.95,0.0
USG_000322,SUB_02291,2025-09-20,3.0,185,189,0.0,0.0
USG_000323,SUB_00623,2025-09-21,6.85,12,146,0.0,0.0
USG_000324,SUB_00826,2025-11-12,8.2,153,127,0.0,0.0
USG_000325,SUB_02173,2026-01-02,26.22,340,299,0.0,0.0
USG_000326,SUB_01033,2025-10-18,43.07,479,239,0.0,0.0
USG_000327,SUB_03286,2025-12-19,1.51,438,82,0.0,0.0
USG_000328,SUB_01363,2025-12-03,8.27,374,257,0.0,0.0
USG_000329,SUB_01496,2025-09-27,1.32,203,290,157.37,0.0
USG_000330,SUB_04442,2025-11-01,6.89,13,183,0.0,0.0
USG_000331,SUB_04346,2025-11-08,2.66,316,41,0.0,0.0
USG_000332,SUB_02444,2025-10-12,8.24,413,266,0.0,0.0
USG_000333,SUB_00335,2025-12-29,21.85,87,161,0.0,0.0
USG_000334,SUB_03819,2025-09-13,0.88,139,4,0.0,0.0
USG_000335,SUB_01987,2025-10-11,2.98,347,178,0.0,0.0
USG_000336,SUB_01407,2025-10-07,10.64,49,22,0.0,0.0
USG_000337,SUB_01270,2025-11-03,6.57,125,143,0.0,0.0
USG_000338,SUB_02995,2025-09-27,4.99,185,120,0.0,0.0
USG_000339,SUB_01906,2025-12-03,7.35,370,210,0.0,0.0
USG_000340,SUB_02292,2025-11-14,5.87,44,245,147.66,0.0
USG_000341,SUB_04492,2025-12-11,4.7,331,248,0.0,0.0
USG_000342,SUB_00422,2025-09-09,3.6,357,51,0.0,91.33
USG_000343,SUB_04407,2025-09-21,3.96,186,14,0.0,0.0
USG_000344,SUB_03097,2025-09-20,1.99,270,190,0.0,0.0
USG_000345,SUB_00784,2025-11-25,1.82,185,132,84.06,0.0
USG_000346,SUB_03808,2025-10-21,1.28,307,95,0.0,0.0
USG_000347,SUB_02279,2025-11-02,3.55,59,256,0.0,0.0
USG_000348,SUB_04096,2025-10-07,5.44,68,205,0.0,0.0
USG_000349,SUB_04243,2025-11-15,3.54,50,100,0.0,47.78
USG_000350,SUB_02764,2025-12-21,0.92,474,147,0.0,30.19
USG_000351,SUB_03768,2025-12-29,3.25,104,111,0.0,11.04
USG_000352,SUB_04410,2025-10-30,15.08,89,52,0.0,0.0
USG_000353,SUB_02188,2025-09-21,6.76,472,212,0.0,0.0
USG_000354,SUB_02409,2025-10-26,2.57,289,198,0.0,92.7
USG_000355,SUB_02087,2025-10-25,6.16,118,1,0.0,0.0
USG_000356,SUB_04702,2025-12-03,6.65,205,116,0.0,0.0
USG_000357,SUB_03331,2025-11-19,5.85,478,29,0.0,0.0
USG_000358,SUB_02700,2025-09-15,1.91,193,74,0.0,0.0
USG_000359,SUB_04353,2025-09-28,2.45,245,63,0.0,0.0
USG_000360,SUB_01097,2025-11-03,14.68,484,205,0.0,0.0
USG_000361,SUB_04643,2025-10-19,7.48,373,266,0.0,0.0
USG_000362,SUB_04611,2025-12-30,2.08,319,29,0.0,13.48
USG_000363,SUB_04743,2025-09-22,1.38,209,171,71.19,0.0
USG_000364,SUB_00983,2025-12-30,13.9,252,108,0.0,0.0
USG_000365,SUB_03024,2025-10-29,2.14,86,236,73.3,0.0
USG_000366,SUB_01717,2025-12-11,10.59,214,156,0.0,0.0
USG_000367,SUB_04911,2025-09-16,10.19,454,299,0.0,0.0
USG_000368,SUB_01609,2025-12-05,1.62,356,87,0.0,0.0
USG_000369,SUB_01883,2025-10-30,2.3,440,269,0.0,0.0
USG_000370,SUB_00446,2025-10-16,21.59,124,243,0.0,0.0
USG_000371,SUB_02852,2025-10-24,4.63,115,174,0.0,82.03
USG_000372,SUB_02261,2025-12-03,6.2,388,63,0.0,99.92
USG_000373,SUB_02099,2025-11-23,5.54,164,175,0.0,0.0
USG_000374,SUB_00678,2025-12-22,7.6,165,285,13.35,0.0
USG_000375,SUB_02442,2025-12-22,4.41,91,54,198.29,0.0
USG_000376,SUB_03905,2025-12-19,3.2,133,183,0.0,0.0
USG_000377,SUB_02420,2025-10-17,2.63,111,26,0.0,0.0
USG_000378,SUB_04541,2025-11-22,2.99,172,23,0.0,0.0
USG_000379,SUB_02944,2025-10-23,15.58,237,69,0.0,3.21
USG_000380,SUB_01696,2025-12-05,1.58,397,96,0.0,92.57
USG_000381,SUB_04026,2025-10-28,4.54,105,110,94.09,45.28
USG_000382,SUB_04620,2025-12-04,1.72,115,150,141.27,0.0
USG_000383,SUB_01274,2025-11-29,2.6,435,138,0.0,0.0
USG_000384,SUB_02215,2025-12-19,9.22,467,125,0.0,0.0
USG_000385,SUB_03016,2025-10-16,5.33,158,148,0.0,0.0
USG_000386,SUB_02603,2025-09-26,9.03,80,143,0.0,0.0
