bill_id,subscriber_id,billing_month,bill_amount,payment_status,payment_date,credit_adjustment,adjustment_reason
BIL_000125,SUB_03715,2026-01-01,132.85,Paid,2026-01-07,0.0,
BIL_000126,SUB_04052,2026-01-01,472.35,Paid,2026-01-05,0.0,
BIL_000127,SUB_04371,2025-12-01,340.63,Paid,2025-12-08,0.0,
BIL_000128,SUB_01115,2025-12-01,144.6,Paid,2025-12-10,0.0,
BIL_000129,SUB_03555,2026-01-01,111.4,Partial,2026-01-12,0.0,
BIL_000130,SUB_00871,2026-01-01,90.99,Paid,2026-01-06,0.0,
BIL_000131,SUB_02200,2026-01-01,136.8,Paid,2026-01-09,0.0,
BIL_000132,SUB_01095,2025-12-01,105.37,Pending,,0.0,
BIL_000133,SUB_02674,2025-11-01,307.89,Partial,2025-11-22,0.0,
BIL_000134,SUB_01898,2025-11-01,83.68,Paid,2025-11-15,0.0,
BIL_000135,SUB_04378,2025-11-01,115.59,Paid,2025-11-06,0.0,
BIL_000136,SUB_02149,2026-01-01,334.42,Paid,2026-01-08,0.0,
BIL_000137,SUB_03423,2026-01-01,131.59,Paid,2026-01-05,0.0,
BIL_000138,SUB_00973,2025-11-01,318.32,Paid,2025-11-06,0.0,
BIL_000139,SUB_00449,2025-11-01,137.13,Paid,2025-11-05,0.0,
BIL_000140,SUB_03310,2026-01-01,439.11,Overdue,,0.0,
BIL_000141,SUB_03975,2025-12-01,127.24,Paid,2025-12-11,0.0,
BIL_000142,SUB_01907,2026-01-01,412.33,Paid,2026-01-14,0.0,
BIL_000143,SUB_01788,2025-11-01,343.41,Overdue,,0.0,
BIL_000144,SUB_04114,2025-11-01,77.76,Overdue,,0.0,
BIL_000145,SUB_01833,2026-01-01,78.9,Paid,2026-01-11,0.0,
BIL_000146,SUB_04440,2026-01-01,99.97,Paid,2026-01-03,0.0,
BIL_000147,SUB_01432,2025-12-01,120.88,Paid,2025-12-16,0.0,
BIL_000148,SUB_04124,2026-01-01,151.47,Paid,2026-01-16,0.0,
BIL_000149,SUB_02777,2026-01-01,296.23,Paid,2026-01-13,0.0,
BIL_000150,SUB_01224,2025-12-01,129.21,Paid,2025-12-11,0.0,
BIL_000151,SUB_02244,2025-12-01,164.97,Partial,2025-12-18,0.0,
BIL_000152,SUB_03849,2026-01-01,495.33,Paid,2026-01-07,0.0,
BIL_000153,SUB_01085,2025-12-01,241.83,Paid,2025-12-06,0.0,
BIL_000154,SUB_04114,2025-11-01,42.89,Paid,2025-11-07,0.0,
BIL_000155,SUB_01174,2025-11-01,160.45,Paid,2025-11-02,0.0,
BIL_000156,SUB_00251,2025-12-01,258.4,Paid,2025-12-02,0.0,
BIL_000157,SUB_02161,2026-01-01,176.3,Partial,2026-01-21,0.0,
BIL_000158,SUB_01865,2025-12-01,82.7,Overdue,,0.0,
BIL_000159,SUB_02925,2025-12-01,510.24,Paid,2025-12-03,0.0,
BIL_000160,SUB_01339,2025-11-01,188.15,Paid,2025-11-09,0.0,
BIL_000161,SUB_04072,2025-12-01,536.32,Overdue,,0.0,
BIL_000162,SUB_03102,2025-11-01,105.26,Paid,2025-11-05,0.0,
BIL_000163,SUB_01083,2026-01-01,108.94,Paid,2026-01-04,0.0,
BIL_000164,SUB_01015,2025-11-01,268.32,Overdue,,0.0,
BIL_000165,SUB_04192,2025-11-01,274.39,Paid,2025-11-14,0.0,
BIL_000166,SUB_04861,2026-01-01,185.03,Paid,2026-01-13,0.0,
BIL_000167,SUB_01963,2025-12-01,106.59,Paid,2025-12-04,0.0,
BIL_000168,SUB_02269,2025-12-01,133.17,Overdue,,0.0,
BIL_000169,SUB_04135,2025-11-01,177.44,Paid,2025-11-03,0.0,
BIL_000170,SUB_00019,2025-11-01,270.83,Pending,,31.34,Network Outage
BIL_000171,SUB_04810,2026-01-01,451.18,Paid,2026-01-02,0.0,
BIL_000172,SUB_00490,2025-12-01,162.6,Paid,2025-12-13,0.0,
BIL_000173,SUB_04410,2025-11-01,190.45,Paid,2025-11-04,0.0,
BIL_000174,SUB_04687,2025-12-01,86.3,Paid,2025-12-15,0.0,
BIL_000175,SUB_03633,2025-11-01,143.1,Paid,2025-11-16,0.0,
BIL_000176,SUB_02333,2025-11-01,400.68,Overdue,,85.77,Complaint Resolution
BIL_000177,SUB_02616,2026-01-01,449.19,Paid,2026-01-07,0.0,
BIL_000178,SUB_00434,2025-12-01,104.22,Paid,2025-12-13,0.0,
BIL_000179,SUB_00196,2025-12-01,60.66,Paid,2025-12-15,0.0,
BIL_000180,SUB_00330,2025-12-01,119.04,Paid,2025-12-15,0.0,
BIL_000181,SUB_03377,2026-01-01,246.05,Partial,2026-01-21,0.0,
BIL_000182,SUB_00053,2025-11-01,198.0,Paid,2025-11-03,0.0,
BIL_000183,SUB_04533,2025-12-01,201.17,Paid,2025-12-04,0.0,
BIL_000184,SUB_01180,2025-11-01,174.52,Partial,2025-11-11,0.0,
BIL_000185,SUB_00248,2025-12-01,279.5,Paid,2025-12-11,0.0,
BIL_000186,SUB_01983,2025-11-01,237.45,Paid,2025-11-14,0.0,
BIL_000187,SUB_03040,2026-01-01,184.4,Paid,2026-01-13,16.46,Network Outage
BIL_000188,SUB_02001,2025-11-01,104.81,Partial,2025-11-18,0.0,
BIL_000189,SUB_03064,2025-11-01,339.6,Overdue,,0.0,
BIL_000190,SUB_03911,2025-11-01,275.78,Paid,2025-11-14,0.0,
BIL_000191,SUB_01532,2025-11-01,190.08,Overdue,,0.0,
BIL_000192,SUB_00746,2026-01-01,310.51,Pending,,0.0,
BIL_000193,SUB_01553,2026-01-01,204.33,Paid,2026-01-05,0.0,
BIL_000194,SUB_02721,2025-12-01,210.95,Paid,2025-12-06,0.0,
BIL_000195,SUB_04294,2025-11-01,151.64,Paid,2025-11-03,0.0,
BIL_000196,SUB_01885,2025-11-01,138.84,Overdue,,0.0,
BIL_000197,SUB_03176,2026-01-01,349.3,Paid,2026-01-12,0.0,
BIL_000198,SUB_02973,2026-01-01,348.85,Paid,2026-01-16,0.0,
BIL_000199,SUB_03369,2025-11-01,204.27,Overdue,,0.0,
BIL_000200,SUB_02636,2025-11-01,296.02,Partial,2025-11-21,0.0,
BIL_000201,SUB_02380,2025-12-01,227.49,Paid,2025-12-15,0.0,
BIL_000202,SUB_02753,2025-12-01,130.51,Overdue,,0.0,
BIL_000203,SUB_04125,2025-11-01,118.89,Overdue,,0.0,
BIL_000204,SUB_04375,2025-11-01,180.32,Overdue,,0.0,
BIL_000205,SUB_00918,2025-12-01,67.58,Overdue,,0.0,
BIL_000206,SUB_04548,2026-01-01,260.63,Paid,2026-01-16,0.0,
BIL_000207,SUB_01011,2025-12-01,214.96,Paid,2025-12-07,0.0,
BIL_000208,SUB_04766,2025-11-01,310.31,Partial,2025-11-24,0.0,
BIL_000209,SUB_02058,2026-01-01,139.02,Overdue,,49.67,Billing Error
BIL_000210,SUB_04471,2025-12-01,136.21,Paid,2025-12-13,0.0,
BIL_000211,SUB_01234,2026-01-01,181.69,Paid,2026-01-15,0.0,
BIL_000212,SUB_02862,2025-11-01,288.43,Paid,2025-11-14,0.0,
BIL_000213,SUB_00403,2026-01-01,345.54,Paid,2026-01-02,0.0,
BIL_000214,SUB_03470,2026-01-01,307.21,Paid,2026-01-07,0.0,
BIL_000215,SUB_03013,2025-12-01,87.68,Paid,2025-12-06,0.0,
BIL_000216,SUB_00654,2025-12-01,172.63,Paid,2025-12-07,0.0,
BIL_000217,SUB_02563,2025-12-01,361.03,Paid,2025-12-13,0.0,
BIL_000218,SUB_01468,2025-11-01,116.28,Paid,2025-11-03,0.0,
BIL_000219,SUB_02708,2025-12-01,150.23,Paid,2025-12-12,0.0,
BIL_000220,SUB_01939,2026-01-01,178.63,Partial,2026-01-20,0.0,
BIL_000221,SUB_02594,2025-11-01,525.68,Paid,2025-11-09,0.0,
BIL_000222,SUB_01160,2025-11-01,319.96,Paid,2025-11-10,0.0,
BIL_000223,SUB_03221,2026-01-01,183.47,Pending,,0.0,
BIL_000224,SUB_04584,2025-11-01,174.07,Paid,2025-11-09,0.0,
BIL_000225,SUB_04776,2025-12-01,238.17,Paid,2025-12-16,0.0,
BIL_000226,SUB_01831,2026-01-01,153.46,Partial,2026-01-22,0.0,
BIL_000227,SUB_00984,2025-11-01,213.93,Paid,2025-11-11,0.0,
BIL_000228,SUB_00792,2025-11-01,503.95,Paid,2025-11-14,0.0,
BIL_000229,SUB_00177,2025-11-01,226.19,Paid,2025-11-06,0.0,
BIL_000230,SUB_00669,2025-11-01,282.23,Paid,2025-11-13,0.0,
BIL_000231,SUB_02837,2025-12-01,583.58,Overdue,,0.0,
BIL_000232,SUB_03420,2025-12-01,257.18,Paid,2025-12-03,0.0,
BIL_000233,SUB_01033,2025-11-01,118.93,Partial,2025-11-09,0.0,
BIL_000234,SUB_03723,2025-12-01,378.28,Paid,2025-12-09,0.0,
BIL_000235,SUB_03333,2026-01-01,110.85,Overdue,,0.0,
BIL_000236,SUB_01722,2025-11-01,149.61,Paid,2025-11-06,0.0,
BIL_000237,SUB_00244,2026-01-01,168.84,Paid,2026-01-15,0.0,
BIL_000238,SUB_04928,2025-11-01,168.17,Partial,2025-11-16,0.0,
BIL_000239,SUB_00920,2026-01-01,309.42,Pending,,0.0,
BIL_000240,SUB_02296,2025-12-01,79.26,Paid,2025-12-16,0.0,
BIL_000241,SUB_01450,2025-12-01,529.64,Paid,2025-12-12,0.0,
BIL_000242,SUB_02348,2025-12-01,404.63,Paid,2025-12-10,0.0,
BIL_000243,SUB_00122,2025-11-01,114.11,Paid,2025-11-09,0.0,
BIL_000244,SUB_02448,2026-01-01,140.9,Paid,2026-01-07,0.0,
BIL_000245,SUB_00888,2025-11-01,368.26,Overdue,,0.0,
BIL_000246,SUB_02176,2025-12-01,195.77,Overdue,,0.0,
BIL_000247,SUB_03009,2026-01-01,358.03,Paid,2026-01-03,0.0,
BIL_000248,SUB_02954,2026-01-01,106.28,Paid,2026-01-06,0.0,
BIL_000249,SUB_01321,2025-12-01,87.46,Overdue,,0.0,
BIL_000250,SUB_04587,2026-01-01,296.24,Paid,2026-01-07,0.0,
BIL_000251,SUB_00220,2025-12-01,72.93,Paid,2025-12-10,0.0,
BIL_000252,SUB_00347,2025-11-01,298.47,Paid,2025-11-10,0.0,
BIL_000253,SUB_04488,2026-01-01,288.04,Pending,,0.0,
BIL_000254,SUB_01693,2026-01-01,126.14,Paid,2026-01-11,0.0,
BIL_000255,SUB_02236,2025-12-01,343.83,Paid,2025-12-03,0.0,
BIL_000256,SUB_03204,2025-12-01,94.04,Paid,2025-12-12,0.0,
BIL_000257,SUB_00256,2026-01-01,416.96,Paid,2026-01-07,0.0,
BIL_000258,SUB_00788,2025-12-01,164.34,Paid,2025-12-11,0.0,
BIL_000259,SUB_02329,2026-01-01,220.61,Paid,2026-01-15,0.0,
BIL_000260,SUB_03549,2025-11-01,176.59,Paid,2025-11-14,0.0,
BIL_000261,SUB_04334,2025-12-01,100.94,Paid,2025-12-10,0.0,
BIL_000262,SUB_02915,2026-01-01,208.44,Overdue,,0.0,
BIL_000263,SUB_02215,2025-12-01,200.19,Overdue,,0.0,
BIL_000264,SUB_04464,2025-12-01,68.85,Partial,2025-12-06,0.0,
BIL_000265,SUB_04275,2025-12-01,224.94,Paid,2025-12-16,0.0,
BIL_000266,SUB_03452,2026-01-01,145.33,Paid,2026-01-06,0.0,
BIL_000267,SUB_01755,2026-01-01,136.15,Paid,2026-01-02,0.0,
BIL_000268,SUB_02931,2025-11-01,182.52,Paid,2025-11-07,0.0,
BIL_000269,SUB_04553,2025-12-01,148.63,Paid,2025-12-15,0.0,
BIL_000270,SUB_04262,2026-01-01,132.48,Partial,2026-01-16,0.0,
BIL_000271,SUB_04391,2026-01-01,176.91,Paid,2026-01-07,0.0,
BIL_000272,SUB_02921,2026-01-01,152.96,Paid,2026-01-13,0.0,
BIL_000273,SUB_03737,2026-01-01,122.71,Overdue,,0.0,
BIL_000274,SUB_00422,2025-11-01,393.64,Pending,,0.0,
BIL_000275,SUB_03233,2025-12-01,220.93,Paid,2025-12-04,0.0,
BIL_000276,SUB_04687,2025-11-01,133.94,Overdue,,68.73,Network Outage
BIL_000277,SUB_00331,2026-01-01,272.86,Paid,2026-01-16,0.0,
BIL_000278,SUB_01120,2026-01-01,227.31,Paid,2026-01-08,0.0,
BIL_000279,SUB_04070,2025-12-01,134.27,Partial,2025-12-07,0.0,
BIL_000280,SUB_01546,2025-12-01,65.26,Pending,,0.0,
BIL_000281,SUB_00410,2025-12-01,476.98,Overdue,,0.0,
BIL_000282,SUB_04904,2026-01-01,307.45,Overdue,,0.0,
BIL_000283,SUB_04737,2025-12-01,91.97,Partial,2025-12-18,0.0,
BIL_000284,SUB_00165,2025-12-01,239.52,Paid,2025-12-09,0.0,
BIL_000285,SUB_00080,2025-12-01,107.34,Paid,2025-12-12,0.0,
BIL_000286,SUB_00700,2025-11-01,543.82,Paid,2025-11-05,0.0,
BIL_000287,SUB_04695,2025-11-01,319.42,Paid,2025-11-13,0.0,
BIL_000288,SUB_00928,2025-12-01,76.78,Paid,2025-12-10,0.0,
BIL_000289,SUB_00445,2026-01-01,119.08,Paid,2026-01-13,0.0,
BIL_000290,SUB_01615,2025-11-01,139.72,Overdue,,0.0,
BIL_000291,SUB_04184,2025-12-01,285.2,Paid,2025-12-03,13.48,Complaint Resolution
BIL_000292,SUB_04954,2025-12-01,132.73,Paid,2025-12-02,0.0,
BIL_000293,SUB_03587,2026-01-01,97.14,Overdue,,0.0,
BIL_000294,SUB_04192,2025-11-01,261.54,Paid,2025-11-02,0.0,
BIL_000295,SUB_03164,2025-11-01,123.94,Paid,2025-11-02,0.0,
BIL_000296,SUB_01651,2025-11-01,196.52,Partial,2025-11-25,0.0,
BIL_000297,SUB_01986,2026-01-01,433.57,Paid,2026-01-04,0.0,
BIL_000298,SUB_01822,2026-01-01,179.43,Partial,2026-01-07,0.0,
BIL_000299,SUB_01179,2025-11-01,126.14,Paid,2025-11-10,0.0,
BIL_000300,SUB_00972,2025-11-01,451.67,Paid,2025-11-09,0.0,
BIL_000301,SUB_01727,2025-12-01,93.48,Paid,2025-12-07,0.0,
BIL_000302,SUB_02802,2026-01-01,293.61,Partial,2026-01-23,0.0,
BIL_000303,SUB_03019,2026-01-01,105.02,Pending,,0.0,
BIL_000304,SUB_04964,2025-12-01,134.16,Paid,2025-12-14,0.0,
BIL_000305,SUB_02235,2025-12-01,196.57,Paid,2025-12-06,0.0,
BIL_000306,SUB_03369,2026-01-01,175.02,Overdue,,0.0,
BIL_000307,SUB_03127,2026-01-01,237.07,Overdue,,0.0,
BIL_000308,SUB_02358,2026-01-01,244.08,Partial,2026-01-14,0.0,
BIL_000309,SUB_02829,2025-11-01,475.4,Overdue,,0.0,
BIL_000310,SUB_00742,2025-12-01,351.2,Paid,2025-12-03,0.0,
BIL_000311,SUB_04771,2026-01-01,102.67,Paid,2026-01-07,0.0,
BIL_000312,SUB_00707,2025-11-01,328.25,Paid,2025-11-13,30.93,Complaint Resolution
BIL_000313,SUB_02190,2025-11-01,117.21,Paid,2025-11-05,0.0,
BIL_000314,SUB_01898,2025-11-01,116.67,Paid,2025-11-14,0.0,
BIL_000315,SUB_00900,2025-12-01,192.46,Paid,2025-12-13,0.0,
BIL_000316,SUB_03599,2025-12-01,223.18,Overdue,,0.0,
BIL_000317,SUB_01615,2025-12-01,173.86,Overdue,,0.0,
BIL_000318,SUB_01413,2025-12-01,336.53,Paid,2025-12-09,0.0,
BIL_000319,SUB_03006,2026-01-01,290.3,Partial,2026-01-25,0.0,
BIL_000320,SUB_03460,2026-01-01,182.49,Overdue,,0.0,
BIL_000321,SUB_02072,2026-01-01,202.55,Pending,,0.0,
BIL_000322,SUB_04654,2025-12-01,347.78,Partial,2025-12-10,0.0,
BIL_000323,SUB_04645,2026-01-01,117.74,Paid,2026-01-15,95.22,Complaint Resolution
BIL_000324,SUB_03410,2025-11-01,149.58,Paid,2025-11-03,0.0,
BIL_000325,SUB_01522,2026-01-01,314.66,Paid,2026-01-04,0.0,
BIL_000326,SUB_03769,2025-12-01,474.28,Overdue,,0.0,
BIL_000327,SUB_03951,2025-11-01,223.16,Pending,,0.0,
BIL_000328,SUB_04969,2025-12-01,95.44,Paid,2025-12-14,0.0,
BIL_000329,SUB_01392,2025-11-01,301.69,Overdue,,0.0,
BIL_000330,SUB_00958,2025-11-01,168.37,Paid,2025-11-13,0.0,
BIL_000331,SUB_01228,2025-11-01,311.14,Overdue,,0.0,
BIL_000332,SUB_01425,2025-11-01,450.33,Paid,2025-11-07,0.0,
BIL_000333,SUB_01524,2026-01-01,185.88,Paid,2026-01-07,0.0,
BIL_000334,SUB_01796,2026-01-01,246.36,Paid,2026-01-03,0.0,
BIL_000335,SUB_00061,2026-01-01,445.58,Paid,2026-01-13,0.0,
BIL_000336,SUB_00911,2025-12-01,205.96,Paid,2025-12-10,0.0,
BIL_000337,SUB_02552,2026-01-01,247.93,Paid,2026-01-16,0.0,
BIL_000338,SUB_04684,2025-11-01,193.93,Partial,2025-11-22,0.0,
BIL_000339,SUB_00773,2025-11-01,104.67,Paid,2025-11-09,0.0,
BIL_000340,SUB_02049,2025-12-01,163.32,Paid,2025-12-11,0.0,
BIL_000341,SUB_01709,2026-01-01,516.84,Paid,2026-01-16,0.0,
BIL_000342,SUB_02431,2026-01-01,248.2,Paid,2026-01-03,0.0,
BIL_000343,SUB_00051,2025-12-01,92.33,Paid,2025-12-11,0.0,
BIL_000344,SUB_02920,2025-11-01,237.45,Pending,,0.0,
BIL_000345,SUB_03011,2026-01-01,289.46,Overdue,,0.0,
BIL_000346,SUB_04068,2025-12-01,191.17,Paid,2025-12-14,0.0,
